time,ask,bid,ask_volume,bid_volume
2016-05-20 00:00:00.051000,1.12023,1.12020,3000000,1000000
2016-05-20 00:00:00.153000,1.12023,1.12019,2400000,1500000
2016-05-20 00:00:00.357000,1.12021,1.12017,9560000,1250000
2016-05-20 00:00:00.863000,1.12020,1.12016,1310000,1000000
2016-05-20 00:00:01.391000,1.12021,1.12019,4120000,1500000
2016-05-20 00:00:01.696000,1.12022,1.12021,1000000,1250000
2016-05-20 00:00:01.848000,1.12023,1.12020,1000000,2440000
2016-05-20 00:00:02.380000,1.12022,1.12020,4500000,1190000
2016-05-20 00:00:02.431000,1.12022,1.12018,4500000,1190000
2016-05-20 00:00:02.939000,1.12023,1.12020,1500000,3000000
2016-05-20 00:00:03.661000,1.12023,1.12019,1050000,4500000
2016-05-20 00:00:03.965000,1.12024,1.12021,1870000,1000000
2016-05-20 00:00:04.572000,1.12022,1.12021,1000000,1000000
2016-05-20 00:00:04.725000,1.12022,1.12019,1000000,1000000
2016-05-20 00:00:05.233000,1.12023,1.12019,1950000,2250000
2016-05-20 00:00:06.164000,1.12024,1.12020,4050000,2250000
2016-05-20 00:00:06.872000,1.12022,1.12020,1000000,1500000
2016-05-20 00:00:09.439000,1.12023,1.12020,3070000,1500000
2016-05-20 00:00:09.964000,1.12023,1.12020,4950000,2440000
2016-05-20 00:00:12.340000,1.12025,1.12022,4500000,1190000
2016-05-20 00:00:12.443000,1.12024,1.12021,1870000,4690000
2016-05-20 00:00:16.790000,1.12022,1.12021,1500000,1250000
2016-05-20 00:00:16.842000,1.12022,1.12020,1120000,1500000
2016-05-20 00:00:17.057000,1.12021,1.12017,3370000,2620000
2016-05-20 00:00:18.351000,1.12021,1.12019,4500000,1000000
2016-05-20 00:00:18.759000,1.12023,1.12020,1120000,6000000
2016-05-20 00:00:19.265000,1.12025,1.12021,3000000,2250000
2016-05-20 00:00:19.815000,1.12025,1.12021,2810000,1690000
2016-05-20 00:00:20.338000,1.12025,1.12021,2810000,3190000
2016-05-20 00:00:20.895000,1.12024,1.12021,2020000,1190000
2016-05-20 00:00:21.402000,1.12024,1.12020,4390000,6260000
2016-05-20 00:00:21.970000,1.12025,1.12021,6640000,1690000
2016-05-20 00:00:23.467000,1.12023,1.12020,1000000,9560000
2016-05-20 00:00:24.603000,1.12024,1.12020,3190000,8440000
2016-05-20 00:00:28.966000,1.12023,1.12021,1000000,3190000
2016-05-20 00:00:29.480000,1.12022,1.12020,1000000,4010000
2016-05-20 00:00:30.016000,1.12023,1.12020,6370000,1190000
2016-05-20 00:00:34.469000,1.12023,1.12019,2440000,5060000
2016-05-20 00:00:34.980000,1.12022,1.12020,1000000,1000000
2016-05-20 00:00:35.487000,1.12022,1.12019,1000000,1500000
2016-05-20 00:00:39.690000,1.12021,1.12019,1000000,4870000
2016-05-20 00:00:40.383000,1.12021,1.12018,1000000,2810000
2016-05-20 00:00:40.945000,1.12020,1.12018,1000000,1250000
2016-05-20 00:00:41.148000,1.12019,1.12016,2810000,1250000
2016-05-20 00:00:41.200000,1.12017,1.12015,1000000,1690000
2016-05-20 00:00:41.302000,1.12017,1.12013,1000000,3370000
2016-05-20 00:00:41.454000,1.12016,1.12012,1500000,5140000
2016-05-20 00:00:42.558000,1.12017,1.12013,3560000,1000000
2016-05-20 00:00:43.125000,1.12016,1.12013,2250000,1000000
2016-05-20 00:00:45.200000,1.12017,1.12013,5810000,1000000
2016-05-20 00:00:51.098000,1.12018,1.12014,2060000,1120000
2016-05-20 00:00:56.131000,1.12019,1.12014,4120000,4310000
2016-05-20 00:00:56.633000,1.12019,1.12015,3370000,1000000
2016-05-20 00:01:01.071000,1.12019,1.12016,1000000,1000000
2016-05-20 00:01:01.590000,1.12020,1.12016,3940000,2250000
2016-05-20 00:01:07.084000,1.12020,1.12017,3940000,1000000
2016-05-20 00:01:09.396000,1.12020,1.12016,3190000,1500000
2016-05-20 00:01:11.203000,1.12020,1.12016,4690000,1250000
2016-05-20 00:01:12.505000,1.12018,1.12015,1200000,5140000
2016-05-20 00:01:12.709000,1.12017,1.12014,2250000,1120000
2016-05-20 00:01:13.576000,1.12017,1.12013,1500000,4310000
2016-05-20 00:01:14.125000,1.12018,1.12013,2140000,3560000
2016-05-20 00:01:14.631000,1.12018,1.12014,1250000,1570000
2016-05-20 00:01:16.080000,1.12019,1.12014,2250000,4570000
2016-05-20 00:01:16.585000,1.12019,1.12014,1650000,1950000
2016-05-20 00:01:17.413000,1.12019,1.12015,1500000,1500000
2016-05-20 00:01:18.813000,1.12020,1.12015,1690000,8620000
2016-05-20 00:01:19.167000,1.12019,1.12015,1690000,4120000
2016-05-20 00:01:19.421000,1.12018,1.12013,2360000,1950000
2016-05-20 00:01:20.794000,1.12018,1.12014,1390000,1000000
2016-05-20 00:01:21.402000,1.12019,1.12014,1690000,5320000
2016-05-20 00:01:21.774000,1.12020,1.12015,1870000,1120000
2016-05-20 00:01:22.027000,1.12019,1.12015,1150000,2620000
2016-05-20 00:01:22.431000,1.12020,1.12014,6560000,6640000
2016-05-20 00:01:22.947000,1.12020,1.12015,4310000,3000000
2016-05-20 00:01:23.403000,1.12019,1.12015,2400000,4870000
2016-05-20 00:01:23.910000,1.12019,1.12014,5060000,3450000
2016-05-20 00:01:24.603000,1.12018,1.12013,4310000,1950000
2016-05-20 00:01:25.008000,1.12019,1.12014,3750000,4310000
2016-05-20 00:01:25.615000,1.12020,1.12015,5060000,1500000
2016-05-20 00:01:25.919000,1.12018,1.12015,1200000,7870000
2016-05-20 00:01:26.121000,1.12018,1.12013,3640000,3820000
2016-05-20 00:01:26.659000,1.12019,1.12014,2810000,3750000
2016-05-20 00:01:27.267000,1.12017,1.12014,1000000,1200000
2016-05-20 00:01:27.772000,1.12017,1.12013,1120000,1100000
2016-05-20 00:01:28.291000,1.12019,1.12014,2060000,1120000
2016-05-20 00:01:28.797000,1.12019,1.12015,1000000,1120000
2016-05-20 00:01:29.303000,1.12020,1.12015,2810000,1500000
2016-05-20 00:01:30.405000,1.12020,1.12016,1310000,1000000
2016-05-20 00:01:31.727000,1.12020,1.12017,1250000,1000000
2016-05-20 00:01:32.234000,1.12021,1.12016,3190000,2250000
2016-05-20 00:01:32.766000,1.12021,1.12017,5060000,1000000
2016-05-20 00:01:33.272000,1.12020,1.12016,1690000,3070000
