time,ask,bid,ask_volume,bid_volume
2016-05-29 21:00:02.655000,1.11138,1.11126,1500000,1500000
2016-05-29 21:00:18.761000,1.11138,1.11127,750000,750000
2016-05-29 21:00:19.345000,1.11138,1.11128,750000,750000
2016-05-29 21:00:44.967000,1.11137,1.11127,750000,1500000
2016-05-29 21:00:52.456000,1.11137,1.11125,1500000,1500000
2016-05-29 21:01:10.728000,1.11130,1.11125,750000,1500000
2016-05-29 21:01:10.896000,1.11130,1.11122,750000,370000
2016-05-29 21:01:10.947000,1.11127,1.11122,750000,370000
2016-05-29 21:01:11.299000,1.11126,1.11116,1500000,750000
2016-05-29 21:01:13.031000,1.11126,1.11117,750000,750000
2016-05-29 21:01:13.082000,1.11128,1.11117,1500000,750000
2016-05-29 21:01:13.133000,1.11126,1.11116,750000,1500000
2016-05-29 21:02:51.508000,1.11126,1.11115,1500000,1500000
2016-05-29 21:03:11.657000,1.11126,1.11116,1500000,750000
2016-05-29 21:03:11.825000,1.11134,1.11123,750000,750000
2016-05-29 21:03:13.009000,1.11134,1.11124,750000,750000
2016-05-29 21:03:14.040000,1.11134,1.11125,750000,750000
2016-05-29 21:03:25.699000,1.11134,1.11132,750000,750000
2016-05-29 21:03:25.750000,1.11139,1.11132,1500000,750000
2016-05-29 21:03:25.851000,1.11145,1.11133,2250000,1500000
2016-05-29 21:03:26.949000,1.11145,1.11134,1500000,750000
2016-05-29 21:03:27.591000,1.11142,1.11133,750000,2250000
2016-05-29 21:03:28.115000,1.11143,1.11133,750000,1500000
2016-05-29 21:03:40.942000,1.11143,1.11142,1500000,750000
2016-05-29 21:03:41.043000,1.11145,1.11142,750000,750000
2016-05-29 21:03:41.094000,1.11158,1.11144,750000,750000
2016-05-29 21:03:41.296000,1.11157,1.11137,1500000,2250000
2016-05-29 21:03:43.005000,1.11157,1.11138,1500000,750000
2016-05-29 21:03:44.997000,1.11158,1.11138,1500000,2250000
2016-05-29 21:03:47.649000,1.11155,1.11138,750000,2250000
2016-05-29 21:03:48.144000,1.11153,1.11139,1500000,1500000
2016-05-29 21:03:56.356000,1.11153,1.11141,1500000,750000
2016-05-29 21:04:00.661000,1.11153,1.11139,1500000,1500000
2016-05-29 21:04:04.673000,1.11148,1.11139,1000000,1000000
2016-05-29 21:04:05.094000,1.11146,1.11138,1000000,1000000
2016-05-29 21:04:05.737000,1.11147,1.11138,1500000,1000000
2016-05-29 21:04:08.567000,1.11147,1.11138,1500000,1190000
2016-05-29 21:04:19.235000,1.11149,1.11138,1500000,2440000
2016-05-29 21:04:19.336000,1.11147,1.11138,1500000,1190000
2016-05-29 21:05:04.938000,1.11146,1.11138,1000000,1190000
2016-05-29 21:05:19.645000,1.11145,1.11140,1500000,1250000
2016-05-29 21:05:21.072000,1.11146,1.11140,2250000,1000000
2016-05-29 21:05:21.598000,1.11145,1.11140,1500000,1000000
2016-05-29 21:05:23.494000,1.11146,1.11140,1000000,1000000
2016-05-29 21:05:24.421000,1.11146,1.11139,1000000,1250000
2016-05-29 21:05:31.633000,1.11146,1.11140,1500000,1000000
2016-05-29 21:05:40.100000,1.11146,1.11139,1500000,1250000
2016-05-29 21:05:41.142000,1.11146,1.11140,1500000,1000000
2016-05-29 21:05:41.559000,1.11146,1.11141,1500000,1190000
2016-05-29 21:05:41.966000,1.11146,1.11140,1500000,1250000
2016-05-29 21:06:13.698000,1.11146,1.11139,1500000,1250000
2016-05-29 21:06:16.469000,1.11146,1.11140,1500000,1000000
2016-05-29 21:06:27.716000,1.11146,1.11138,1000000,1190000
2016-05-29 21:06:28.717000,1.11146,1.11140,1000000,1000000
2016-05-29 21:06:33.023000,1.11146,1.11139,1000000,1250000
2016-05-29 21:06:34.774000,1.11146,1.11139,1000000,1190000
2016-05-29 21:07:05.039000,1.11147,1.11140,1500000,1250000
2016-05-29 21:07:11.445000,1.11148,1.11140,1000000,1690000
2016-05-29 21:07:12.104000,1.11147,1.11140,1500000,1250000
2016-05-29 21:07:44.980000,1.11148,1.11137,2250000,1690000
2016-05-29 21:08:25.658000,1.11146,1.11137,1000000,3190000
2016-05-29 21:09:01.016000,1.11147,1.11137,1000000,3190000
2016-05-29 21:09:32.032000,1.11148,1.11140,1000000,1250000
2016-05-29 21:09:32.583000,1.11148,1.11141,1000000,1000000
2016-05-29 21:09:33.226000,1.11149,1.11141,2250000,1000000
2016-05-29 21:09:34.186000,1.11149,1.11142,2250000,1000000
2016-05-29 21:09:46.403000,1.11149,1.11141,2250000,1500000
2016-05-29 21:09:47.405000,1.11149,1.11142,2250000,1000000
2016-05-29 21:09:48.333000,1.11149,1.11141,2250000,1500000
2016-05-29 21:09:49.521000,1.11149,1.11142,2250000,1000000
2016-05-29 21:09:53.534000,1.11149,1.11141,2250000,1500000
2016-05-29 21:09:54.060000,1.11149,1.11142,2250000,1000000
2016-05-29 21:10:05.746000,1.11149,1.11141,2250000,1500000
2016-05-29 21:10:06.279000,1.11149,1.11142,2250000,1000000
2016-05-29 21:10:09.642000,1.11149,1.11141,2250000,1500000
2016-05-29 21:10:10.293000,1.11149,1.11142,2250000,1000000
2016-05-29 21:10:20.121000,1.11149,1.11140,1500000,1690000
2016-05-29 21:10:22.339000,1.11149,1.11141,1500000,1000000
2016-05-29 21:10:24.906000,1.11149,1.11140,1500000,1250000
2016-05-29 21:10:25.474000,1.11149,1.11141,1500000,1000000
2016-05-29 21:12:10.550000,1.11149,1.11141,1500000,1570000
2016-05-29 21:12:12.670000,1.11148,1.11141,1500000,1070000
2016-05-29 21:12:12.720000,1.11145,1.11141,1000000,1000000
2016-05-29 21:12:12.974000,1.11148,1.11138,1000000,4320000
2016-05-29 21:12:13.025000,1.11149,1.11139,1000000,1770000
2016-05-29 21:12:13.533000,1.11149,1.11139,1000000,3570000
2016-05-29 21:12:17.057000,1.11144,1.11139,1000000,2630000
2016-05-29 21:12:17.159000,1.11142,1.11138,1000000,2440000
2016-05-29 21:12:17.210000,1.11142,1.11133,1000000,2630000
2016-05-29 21:12:17.362000,1.11139,1.11134,1000000,1630000
2016-05-29 21:12:17.463000,1.11138,1.11131,1000000,2820000
2016-05-29 21:12:42.077000,1.11141,1.11131,1500000,1320000
2016-05-29 21:12:46.842000,1.11141,1.11134,2250000,1000000
2016-05-29 21:13:01.072000,1.11141,1.11131,3000000,2820000
2016-05-29 21:13:03.401000,1.11140,1.11133,1000000,1570000
2016-05-29 21:14:22.533000,1.11140,1.11133,1000000,1010000
2016-05-29 21:14:29.696000,1.11140,1.11132,1000000,1760000
2016-05-29 21:14:33.750000,1.11140,1.11134,1000000,1500000
2016-05-29 21:14:34.346000,1.11139,1.11134,1000000,1500000
2016-05-29 21:14:36.900000,1.11140,1.11134,1000000,1500000
2016-05-29 21:14:45.009000,1.11140,1.11133,1000000,1500000
2016-05-29 21:15:07.779000,1.11138,1.11133,1000000,1250000
2016-05-29 21:15:11.706000,1.11140,1.11133,1000000,1250000
2016-05-29 21:15:12.036000,1.11140,1.11134,1000000,1010000
2016-05-29 21:15:12.087000,1.11142,1.11134,1000000,1690000
2016-05-29 21:15:12.290000,1.11144,1.11136,1050000,1500000
2016-05-29 21:15:12.442000,1.11147,1.11139,3040000,1000000
