time,ask,bid,ask_volume,bid_volume
2016-05-30 00:00:00.370000,1.11087,1.11080,1690000,3000000
2016-05-30 00:00:00.877000,1.11085,1.11080,1000000,1500000
2016-05-30 00:00:01.723000,1.11086,1.11080,1120000,1000000
2016-05-30 00:00:02.250000,1.11085,1.11080,1120000,1000000
2016-05-30 00:00:02.791000,1.11085,1.11079,5810000,1000000
2016-05-30 00:00:03.297000,1.11083,1.11079,1250000,1000000
2016-05-30 00:00:03.822000,1.11083,1.11080,1250000,1000000
2016-05-30 00:00:04.733000,1.11083,1.11081,1250000,1000000
2016-05-30 00:00:05.076000,1.11083,1.11080,1250000,1000000
2016-05-30 00:00:06.917000,1.11084,1.11080,2620000,1000000
2016-05-30 00:00:08.181000,1.11083,1.11080,1000000,1000000
2016-05-30 00:00:08.485000,1.11084,1.11082,1500000,1000000
2016-05-30 00:00:09.005000,1.11085,1.11083,3000000,1000000
2016-05-30 00:00:10.059000,1.11085,1.11082,3000000,1000000
2016-05-30 00:00:10.574000,1.11085,1.11083,2250000,1000000
2016-05-30 00:00:11.261000,1.11085,1.11083,3000000,1000000
2016-05-30 00:00:11.781000,1.11085,1.11082,3750000,1000000
2016-05-30 00:00:12.287000,1.11084,1.11082,1000000,1000000
2016-05-30 00:00:13.675000,1.11085,1.11082,3750000,1000000
2016-05-30 00:00:14.396000,1.11085,1.11082,1000000,1000000
2016-05-30 00:00:17.697000,1.11086,1.11083,3000000,1000000
2016-05-30 00:00:18.850000,1.11085,1.11083,1000000,1000000
2016-05-30 00:00:19.358000,1.11085,1.11082,1870000,1000000
2016-05-30 00:00:21.008000,1.11086,1.11083,2700000,1000000
2016-05-30 00:00:21.514000,1.11085,1.11083,1000000,1000000
2016-05-30 00:00:24.838000,1.11085,1.11083,1000000,1000000
2016-05-30 00:00:27.947000,1.11084,1.11082,1000000,1000000
2016-05-30 00:00:28.458000,1.11085,1.11083,1000000,1000000
2016-05-30 00:00:29.044000,1.11085,1.11083,1000000,1000000
2016-05-30 00:00:29.754000,1.11085,1.11083,1000000,1000000
2016-05-30 00:00:31.233000,1.11085,1.11083,1000000,1000000
2016-05-30 00:00:31.538000,1.11086,1.11084,2620000,1000000
2016-05-30 00:00:31.826000,1.11086,1.11083,3000000,1000000
2016-05-30 00:00:32.332000,1.11086,1.11082,2620000,1000000
2016-05-30 00:00:32.876000,1.11085,1.11082,1000000,1000000
2016-05-30 00:00:35.745000,1.11085,1.11083,1000000,1000000
2016-05-30 00:00:37.372000,1.11086,1.11083,1870000,1000000
2016-05-30 00:00:42.539000,1.11086,1.11084,1120000,1000000
2016-05-30 00:00:43.739000,1.11086,1.11083,1120000,1000000
2016-05-30 00:00:44.268000,1.11086,1.11084,1120000,1000000
2016-05-30 00:00:45.875000,1.11086,1.11083,1000000,1000000
2016-05-30 00:00:47.393000,1.11088,1.11084,5250000,3000000
2016-05-30 00:00:47.445000,1.11088,1.11086,1500000,1000000
2016-05-30 00:00:47.547000,1.11088,1.11085,2250000,1000000
2016-05-30 00:00:48.281000,1.11088,1.11084,1000000,4500000
2016-05-30 00:00:48.687000,1.11089,1.11086,2700000,1000000
2016-05-30 00:00:49.064000,1.11089,1.11084,1200000,2250000
2016-05-30 00:00:52.423000,1.11087,1.11084,1000000,4500000
2016-05-30 00:00:52.930000,1.11086,1.11083,1120000,1000000
2016-05-30 00:00:53.436000,1.11084,1.11082,1120000,1000000
2016-05-30 00:00:53.947000,1.11084,1.11081,1120000,1000000
2016-05-30 00:00:54.455000,1.11084,1.11081,2250000,1000000
2016-05-30 00:00:55.251000,1.11084,1.11082,2250000,1000000
2016-05-30 00:00:55.759000,1.11083,1.11081,1000000,1000000
2016-05-30 00:00:58.015000,1.11082,1.11081,1000000,1000000
2016-05-30 00:00:58.997000,1.11083,1.11081,1000000,1000000
2016-05-30 00:01:00.009000,1.11082,1.11080,1000000,1000000
2016-05-30 00:01:01.078000,1.11082,1.11080,1000000,1000000
2016-05-30 00:01:02.592000,1.11083,1.11080,3370000,1000000
2016-05-30 00:01:02.896000,1.11083,1.11081,1500000,1000000
2016-05-30 00:01:03.504000,1.11083,1.11080,1500000,1000000
2016-05-30 00:01:04.007000,1.11082,1.11080,1000000,1000000
2016-05-30 00:01:04.530000,1.11083,1.11080,1500000,1000000
2016-05-30 00:01:05.038000,1.11082,1.11080,1000000,1000000
2016-05-30 00:01:05.576000,1.11083,1.11081,1500000,1000000
2016-05-30 00:01:06.386000,1.11082,1.11080,1000000,1000000
2016-05-30 00:01:06.910000,1.11083,1.11080,1500000,1000000
2016-05-30 00:01:07.997000,1.11083,1.11081,1000000,1000000
2016-05-30 00:01:09.494000,1.11083,1.11080,1000000,1000000
2016-05-30 00:01:12.957000,1.11082,1.11080,1370000,1000000
2016-05-30 00:01:14.962000,1.11082,1.11079,1370000,1000000
2016-05-30 00:01:17.986000,1.11084,1.11080,4120000,1000000
2016-05-30 00:01:19.722000,1.11082,1.11079,1370000,1000000
2016-05-30 00:01:20.230000,1.11082,1.11079,1370000,1000000
2016-05-30 00:01:21.480000,1.11082,1.11080,1370000,1000000
2016-05-30 00:01:21.987000,1.11082,1.11079,1870000,1000000
2016-05-30 00:01:22.881000,1.11082,1.11079,2620000,1000000
2016-05-30 00:01:23.785000,1.11082,1.11078,2620000,1500000
2016-05-30 00:01:24.292000,1.11081,1.11078,1370000,1500000
2016-05-30 00:01:26.686000,1.11082,1.11078,2620000,1500000
2016-05-30 00:01:27.286000,1.11082,1.11078,3370000,1500000
2016-05-30 00:01:29.408000,1.11081,1.11077,1500000,1500000
2016-05-30 00:01:31.449000,1.11080,1.11076,1870000,1870000
2016-05-30 00:01:31.864000,1.11074,1.11073,2250000,1000000
2016-05-30 00:01:32.383000,1.11074,1.11072,2250000,1120000
2016-05-30 00:01:32.687000,1.11074,1.11073,1000000,1000000
2016-05-30 00:01:33.214000,1.11074,1.11073,2250000,1000000
