time,ask,bid,ask_volume,bid_volume
2016-03-20 21:02:09.211000,1.12662,1.12575,3750000,750000
2016-03-20 21:02:09.261000,1.12660,1.12576,750000,750000
2016-03-20 21:02:15.951000,1.12651,1.12576,750000,750000
2016-03-20 21:02:16.319000,1.12649,1.12577,750000,750000
2016-03-20 21:02:25.191000,1.12637,1.12577,750000,750000
2016-03-20 21:02:29.535000,1.12633,1.12577,750000,750000
2016-03-20 21:02:29.843000,1.12630,1.12582,750000,750000
2016-03-20 21:02:30.786000,1.12632,1.12576,750000,370000
2016-03-20 21:02:35.041000,1.12692,1.12612,1500000,750000
2016-03-20 21:02:35.092000,1.12690,1.12618,750000,750000
2016-03-20 21:02:35.193000,1.12692,1.12610,1500000,750000
2016-03-20 21:02:40.147000,1.12691,1.12610,750000,750000
2016-03-20 21:02:58.220000,1.12690,1.12627,750000,370000
2016-03-20 21:02:58.273000,1.12687,1.12627,750000,1500000
2016-03-20 21:03:05.220000,1.12687,1.12628,750000,370000
2016-03-20 21:03:12.681000,1.12688,1.12628,750000,1500000
2016-03-20 21:03:20.201000,1.12691,1.12655,750000,750000
2016-03-20 21:03:20.551000,1.12685,1.12656,750000,370000
2016-03-20 21:03:20.779000,1.12687,1.12656,750000,370000
2016-03-20 21:03:20.933000,1.12684,1.12656,750000,750000
2016-03-20 21:03:21.135000,1.12684,1.12629,750000,750000
2016-03-20 21:03:25.339000,1.12684,1.12638,750000,370000
2016-03-20 21:03:33.723000,1.12684,1.12647,750000,750000
2016-03-20 21:03:33.824000,1.12687,1.12649,750000,750000
2016-03-20 21:03:43.812000,1.12688,1.12649,750000,750000
2016-03-20 21:03:45.256000,1.12688,1.12650,750000,370000
2016-03-20 21:04:05.184000,1.12688,1.12650,1000000,1370000
2016-03-20 21:04:08.900000,1.12687,1.12651,1250000,1000000
2016-03-20 21:04:13.317000,1.12679,1.12649,1000000,1870000
2016-03-20 21:04:13.368000,1.12679,1.12649,1000000,1000000
2016-03-20 21:04:17.447000,1.12679,1.12658,1000000,1000000
2016-03-20 21:04:17.850000,1.12680,1.12662,1000000,1000000
2016-03-20 21:04:18.153000,1.12680,1.12664,1000000,1000000
2016-03-20 21:04:18.364000,1.12680,1.12662,1000000,1000000
2016-03-20 21:04:22.455000,1.12679,1.12649,1000000,1120000
2016-03-20 21:04:22.506000,1.12679,1.12649,1000000,1120000
2016-03-20 21:04:22.809000,1.12679,1.12649,1000000,1000000
2016-03-20 21:04:25.006000,1.12679,1.12649,1000000,1120000
2016-03-20 21:04:25.394000,1.12679,1.12648,1000000,1370000
2016-03-20 21:04:27.042000,1.12680,1.12662,1500000,1000000
2016-03-20 21:04:27.412000,1.12680,1.12663,1000000,1370000
2016-03-20 21:04:33.421000,1.12682,1.12667,1500000,1000000
2016-03-20 21:04:59.848000,1.12682,1.12668,1500000,1000000
2016-03-20 21:05:00,1.12689,1.12668,1250000,1000000
2016-03-20 21:05:00.530000,1.12690,1.12667,1250000,1000000
2016-03-20 21:05:01.081000,1.12690,1.12668,1250000,1000000
2016-03-20 21:05:14.806000,1.12695,1.12683,1000000,1190000
2016-03-20 21:05:14.908000,1.12702,1.12688,1500000,1500000
2016-03-20 21:05:15.433000,1.12692,1.12681,1000000,1000000
2016-03-20 21:05:15.534000,1.12689,1.12665,1000000,1000000
2016-03-20 21:05:20.375000,1.12689,1.12665,1690000,1750000
2016-03-20 21:05:20.578000,1.12689,1.12665,1690000,1000000
2016-03-20 21:05:26.805000,1.12689,1.12670,1000000,1250000
2016-03-20 21:05:27.650000,1.12688,1.12670,1000000,1250000
2016-03-20 21:05:39.092000,1.12685,1.12670,1000000,940000
2016-03-20 21:05:39.143000,1.12685,1.12658,1000000,2250000
2016-03-20 21:05:39.245000,1.12689,1.12663,1000000,1000000
2016-03-20 21:05:39.759000,1.12689,1.12670,1000000,1250000
2016-03-20 21:05:45.368000,1.12689,1.12672,1000000,1250000
2016-03-20 21:06:25.418000,1.12688,1.12672,1000000,1250000
2016-03-20 21:06:29.389000,1.12686,1.12672,1000000,940000
2016-03-20 21:06:29.710000,1.12688,1.12672,1000000,1250000
2016-03-20 21:06:51.504000,1.12691,1.12671,1000000,1690000
2016-03-20 21:06:51.605000,1.12689,1.12673,1000000,1190000
2016-03-20 21:06:54.105000,1.12690,1.12673,1000000,1190000
2016-03-20 21:06:54.610000,1.12689,1.12673,1000000,1190000
2016-03-20 21:06:59.205000,1.12689,1.12676,1000000,1190000
2016-03-20 21:06:59.408000,1.12692,1.12676,1500000,1190000
2016-03-20 21:06:59.459000,1.12698,1.12676,1000000,1190000
2016-03-20 21:07:17.381000,1.12696,1.12676,1000000,1190000
2016-03-20 21:07:21.767000,1.12697,1.12676,1000000,1190000
2016-03-20 21:07:23.260000,1.12696,1.12676,1000000,1190000
2016-03-20 21:07:26.396000,1.12695,1.12676,1000000,1190000
2016-03-20 21:07:29.224000,1.12689,1.12674,1000000,1190000
2016-03-20 21:07:30.693000,1.12689,1.12673,1500000,1190000
2016-03-20 21:07:30.761000,1.12687,1.12673,1000000,1190000
2016-03-20 21:07:31.341000,1.12687,1.12666,1000000,1190000
2016-03-20 21:07:31.442000,1.12685,1.12666,1500000,1190000
2016-03-20 21:07:40.247000,1.12685,1.12663,1500000,1500000
2016-03-20 21:07:50.755000,1.12682,1.12663,1000000,1500000
2016-03-20 21:07:58.676000,1.12683,1.12663,1000000,1500000
2016-03-20 21:08:00.655000,1.12682,1.12663,1000000,1500000
2016-03-20 21:08:01.159000,1.12683,1.12663,1000000,1500000
2016-03-20 21:08:03.960000,1.12682,1.12663,1000000,1500000
2016-03-20 21:08:07.165000,1.12683,1.12663,1000000,1000000
2016-03-20 21:08:10.656000,1.12682,1.12663,1000000,1000000
2016-03-20 21:08:14.226000,1.12682,1.12662,1000000,1000000
2016-03-20 21:08:34.417000,1.12685,1.12662,2250000,1000000
2016-03-20 21:08:36.961000,1.12685,1.12662,2250000,1120000
2016-03-20 21:08:37.264000,1.12684,1.12672,1000000,1000000
2016-03-20 21:08:37.315000,1.12684,1.12669,1190000,1000000
2016-03-20 21:08:38.143000,1.12684,1.12669,1000000,1000000
2016-03-20 21:08:56.907000,1.12681,1.12669,1000000,1000000
2016-03-20 21:09:03.917000,1.12681,1.12668,1500000,1500000
2016-03-20 21:09:04.018000,1.12681,1.12665,1000000,1000000
2016-03-20 21:09:04.069000,1.12681,1.12660,1000000,2250000
2016-03-20 21:09:05.186000,1.12681,1.12660,1000000,2620000
2016-03-20 21:09:06.127000,1.12681,1.12660,1690000,1000000
2016-03-20 21:09:06.496000,1.12674,1.12659,1500000,1000000
2016-03-20 21:09:28.145000,1.12673,1.12659,1000000,1000000
2016-03-20 21:09:40.751000,1.12683,1.12660,1000000,1000000
2016-03-20 21:09:41.808000,1.12684,1.12660,1000000,1000000
2016-03-20 21:09:41.864000,1.12684,1.12662,1000000,1000000
2016-03-20 21:09:41.966000,1.12692,1.12665,1500000,1000000
2016-03-20 21:09:42.067000,1.12695,1.12665,2250000,1000000
2016-03-20 21:09:43.163000,1.12686,1.12664,1000000,1000000
2016-03-20 21:09:43.466000,1.12675,1.12658,1000000,3000000
2016-03-20 21:09:44.193000,1.12675,1.12659,1000000,1000000
2016-03-20 21:09:52.940000,1.12676,1.12659,1000000,1500000
2016-03-20 21:09:53.516000,1.12675,1.12659,1000000,1500000
2016-03-20 21:09:57.151000,1.12676,1.12659,1000000,2250000
2016-03-20 21:10:02.281000,1.12676,1.12661,1000000,1000000
2016-03-20 21:10:02.498000,1.12695,1.12665,1690000,1000000
2016-03-20 21:10:15.105000,1.12695,1.12665,1500000,1000000
2016-03-20 21:11:51.565000,1.12696,1.12665,1500000,1000000
2016-03-20 21:11:52.090000,1.12695,1.12665,1000000,1000000
2016-03-20 21:12:38.414000,1.12696,1.12665,1500000,1000000
2016-03-20 21:12:39.064000,1.12695,1.12665,1000000,1000000
2016-03-20 21:12:52.438000,1.12695,1.12665,1690000,1000000
2016-03-20 21:12:52.539000,1.12695,1.12665,1500000,1000000
2016-03-20 21:13:00.012000,1.12695,1.12665,1570000,1000000
2016-03-20 21:13:36.439000,1.12695,1.12665,1570000,1000000
2016-03-20 21:13:43.766000,1.12695,1.12665,1570000,1120000
