time,ask,bid,ask_volume,bid_volume
2016-07-04 00:00:01.207000,1.11279,1.11273,1570000,1000000
2016-07-04 00:00:01.309000,1.11277,1.11270,1870000,3070000
2016-07-04 00:00:01.543000,1.11276,1.11270,1370000,1570000
2016-07-04 00:00:01.734000,1.11275,1.11268,1500000,1100000
2016-07-04 00:00:02.243000,1.11275,1.11268,1870000,1100000
2016-07-04 00:00:03.798000,1.11275,1.11269,1500000,1000000
2016-07-04 00:00:04.305000,1.11275,1.11271,1500000,1000000
2016-07-04 00:00:04.610000,1.11275,1.11269,1000000,1000000
2016-07-04 00:00:04.977000,1.11275,1.11269,8320000,1000000
2016-07-04 00:00:05.599000,1.11275,1.11271,8620000,1000000
2016-07-04 00:00:05.783000,1.11275,1.11271,6000000,1100000
2016-07-04 00:00:06.124000,1.11278,1.11274,1370000,1120000
2016-07-04 00:00:06.631000,1.11278,1.11274,1000000,2620000
2016-07-04 00:00:07.261000,1.11280,1.11274,2620000,3370000
2016-07-04 00:00:07.604000,1.11285,1.11283,5250000,1120000
2016-07-04 00:00:07.655000,1.11285,1.11283,1000000,1120000
2016-07-04 00:00:07.830000,1.11287,1.11283,3370000,1870000
2016-07-04 00:00:08.034000,1.11288,1.11287,1500000,1000000
2016-07-04 00:00:08.575000,1.11288,1.11284,1500000,2620000
2016-07-04 00:00:09.528000,1.11289,1.11284,1000000,4500000
2016-07-04 00:00:09.630000,1.11292,1.11284,1500000,8620000
2016-07-04 00:00:10.156000,1.11293,1.11285,7120000,1500000
2016-07-04 00:00:10.659000,1.11292,1.11285,1000000,1500000
2016-07-04 00:00:11.174000,1.11292,1.11286,1000000,1570000
2016-07-04 00:00:11.497000,1.11294,1.11288,1120000,1500000
2016-07-04 00:00:11.751000,1.11295,1.11290,1500000,1100000
2016-07-04 00:00:12.242000,1.11295,1.11288,3750000,1570000
2016-07-04 00:00:12.763000,1.11295,1.11288,3370000,1100000
2016-07-04 00:00:13.312000,1.11295,1.11288,1120000,1100000
2016-07-04 00:00:14.121000,1.11295,1.11289,1120000,1000000
2016-07-04 00:00:16.572000,1.11296,1.11291,1370000,1100000
2016-07-04 00:00:16.725000,1.11297,1.11291,1120000,2320000
2016-07-04 00:00:16.826000,1.11297,1.11294,1120000,1000000
2016-07-04 00:00:17.439000,1.11297,1.11295,1000000,1000000
2016-07-04 00:00:17.542000,1.11300,1.11294,3370000,1500000
2016-07-04 00:00:18.050000,1.11301,1.11295,4120000,1000000
2016-07-04 00:00:18.672000,1.11301,1.11294,1870000,2250000
2016-07-04 00:00:19.182000,1.11301,1.11295,4120000,1000000
2016-07-04 00:00:20.248000,1.11299,1.11294,1000000,1500000
2016-07-04 00:00:21.212000,1.11298,1.11294,1000000,1000000
2016-07-04 00:00:21.263000,1.11300,1.11294,1120000,1120000
2016-07-04 00:00:22.238000,1.11298,1.11294,1000000,2620000
2016-07-04 00:00:22.789000,1.11299,1.11293,1000000,1500000
2016-07-04 00:00:23.297000,1.11299,1.11292,1000000,2620000
2016-07-04 00:00:23.855000,1.11298,1.11292,1000000,1000000
2016-07-04 00:00:24.363000,1.11297,1.11292,1000000,1120000
2016-07-04 00:00:25.297000,1.11297,1.11292,1000000,1500000
2016-07-04 00:00:25.805000,1.11298,1.11292,1000000,1500000
2016-07-04 00:00:29.634000,1.11298,1.11292,1500000,3750000
2016-07-04 00:00:31.307000,1.11298,1.11292,1000000,2250000
2016-07-04 00:00:31.815000,1.11298,1.11292,1000000,1870000
2016-07-04 00:00:34.752000,1.11298,1.11293,1000000,1000000
2016-07-04 00:00:35.375000,1.11300,1.11293,3750000,1000000
2016-07-04 00:00:36.012000,1.11300,1.11293,4870000,1500000
2016-07-04 00:00:38.335000,1.11300,1.11293,5620000,1500000
2016-07-04 00:00:40.192000,1.11299,1.11292,1500000,1500000
2016-07-04 00:00:42.262000,1.11298,1.11291,1120000,1120000
2016-07-04 00:00:43.896000,1.11299,1.11292,6750000,1000000
2016-07-04 00:00:44.734000,1.11298,1.11292,1370000,1000000
2016-07-04 00:00:45.162000,1.11293,1.11291,3000000,1000000
2016-07-04 00:00:45.264000,1.11291,1.11286,1000000,1570000
2016-07-04 00:00:45.366000,1.11290,1.11283,1120000,1570000
2016-07-04 00:00:46.658000,1.11290,1.11283,1370000,1570000
2016-07-04 00:00:49.171000,1.11290,1.11283,1570000,1870000
2016-07-04 00:00:49.708000,1.11290,1.11283,1570000,1870000
2016-07-04 00:00:54.644000,1.11290,1.11283,1500000,1500000
2016-07-04 00:00:59.393000,1.11290,1.11283,4200000,1870000
2016-07-04 00:01:00.800000,1.11287,1.11282,1000000,2620000
2016-07-04 00:01:02.807000,1.11287,1.11283,1000000,1100000
2016-07-04 00:01:05.646000,1.11287,1.11282,1000000,1100000
2016-07-04 00:01:09.430000,1.11286,1.11281,1000000,2620000
2016-07-04 00:01:09.953000,1.11285,1.11280,1000000,2290000
