time,ask,bid,ask_volume,bid_volume
2016-05-16 00:00:00.142000,1.13177,1.13173,1870000,1000000
2016-05-16 00:00:00.714000,1.13178,1.13173,2020000,1250000
2016-05-16 00:00:00.766000,1.13176,1.13172,1000000,5060000
2016-05-16 00:00:01.070000,1.13172,1.13170,1000000,1000000
2016-05-16 00:00:01.172000,1.13172,1.13166,1000000,6940000
2016-05-16 00:00:01.683000,1.13172,1.13168,1000000,4200000
2016-05-16 00:00:01.941000,1.13170,1.13165,1000000,10120000
2016-05-16 00:00:02.481000,1.13168,1.13164,1500000,3940000
2016-05-16 00:00:02.786000,1.13166,1.13164,1690000,1000000
2016-05-16 00:00:03.289000,1.13166,1.13164,1250000,1000000
2016-05-16 00:00:03.492000,1.13165,1.13161,6000000,1500000
2016-05-16 00:00:03.543000,1.13165,1.13163,6000000,1190000
2016-05-16 00:00:03.645000,1.13167,1.13163,1120000,1000000
2016-05-16 00:00:04.192000,1.13168,1.13163,1370000,3190000
2016-05-16 00:00:04.699000,1.13168,1.13163,1000000,2810000
2016-05-16 00:00:05.090000,1.13165,1.13162,1000000,1500000
2016-05-16 00:00:05.597000,1.13166,1.13161,1000000,1100000
2016-05-16 00:00:06.101000,1.13167,1.13162,1250000,2620000
2016-05-16 00:00:06.608000,1.13168,1.13163,4390000,1000000
2016-05-16 00:00:06.912000,1.13165,1.13161,11440000,1500000
2016-05-16 00:00:07.039000,1.13165,1.13159,9260000,1000000
2016-05-16 00:00:07.546000,1.13164,1.13158,3000000,2810000
2016-05-16 00:00:07.702000,1.13162,1.13158,1000000,2440000
2016-05-16 00:00:08.504000,1.13163,1.13158,1120000,2810000
2016-05-16 00:00:12.314000,1.13162,1.13158,1000000,2440000
2016-05-16 00:00:12.654000,1.13160,1.13156,1250000,2440000
2016-05-16 00:00:23.557000,1.13160,1.13155,3750000,3940000
2016-05-16 00:00:26.418000,1.13161,1.13155,3000000,3560000
2016-05-16 00:00:28.560000,1.13161,1.13156,2620000,1000000
2016-05-16 00:00:29.167000,1.13160,1.13156,1000000,2620000
2016-05-16 00:00:31.372000,1.13160,1.13156,1000000,3750000
2016-05-16 00:00:32.170000,1.13161,1.13156,1120000,3370000
2016-05-16 00:00:33.862000,1.13162,1.13156,1310000,5620000
2016-05-16 00:00:34.378000,1.13161,1.13156,1000000,4120000
2016-05-16 00:00:35.558000,1.13160,1.13156,1000000,6000000
2016-05-16 00:00:36.787000,1.13160,1.13156,1000000,3370000
2016-05-16 00:00:37.980000,1.13160,1.13156,1000000,3750000
2016-05-16 00:00:38.338000,1.13161,1.13158,2440000,1650000
2016-05-16 00:00:38.848000,1.13162,1.13159,1310000,1500000
2016-05-16 00:00:39.355000,1.13163,1.13159,1000000,9560000
2016-05-16 00:00:42.695000,1.13164,1.13159,1870000,9560000
2016-05-16 00:00:43.955000,1.13164,1.13159,1000000,12370000
2016-05-16 00:00:45.846000,1.13164,1.13161,1000000,1000000
2016-05-16 00:00:45.998000,1.13166,1.13161,1870000,4120000
2016-05-16 00:00:46.352000,1.13167,1.13163,1310000,1000000
2016-05-16 00:00:47.134000,1.13167,1.13162,1250000,3750000
2016-05-16 00:00:47.658000,1.13167,1.13163,1250000,1000000
2016-05-16 00:00:52.219000,1.13168,1.13165,2810000,1000000
2016-05-16 00:00:52.321000,1.13169,1.13166,1870000,1500000
2016-05-16 00:00:52.829000,1.13171,1.13166,5060000,1370000
2016-05-16 00:00:53.354000,1.13172,1.13168,1310000,1120000
2016-05-16 00:00:55.676000,1.13172,1.13167,1690000,3000000
2016-05-16 00:00:56.217000,1.13172,1.13168,1000000,1120000
2016-05-16 00:00:58.184000,1.13171,1.13167,1000000,4120000
2016-05-16 00:00:58.640000,1.13170,1.13165,6000000,2210000
2016-05-16 00:00:59.178000,1.13169,1.13164,2250000,4870000
2016-05-16 00:01:00.764000,1.13169,1.13165,2620000,1000000
2016-05-16 00:01:01.295000,1.13169,1.13164,2620000,7120000
2016-05-16 00:01:02.539000,1.13169,1.13165,3370000,1000000
2016-05-16 00:01:03.077000,1.13169,1.13164,2620000,4870000
2016-05-16 00:01:06.662000,1.13168,1.13164,1000000,4500000
2016-05-16 00:01:07.170000,1.13169,1.13163,5620000,5290000
2016-05-16 00:01:07.716000,1.13168,1.13164,1000000,1000000
2016-05-16 00:01:08.223000,1.13168,1.13163,1120000,2810000
2016-05-16 00:01:08.768000,1.13168,1.13163,1500000,2060000
2016-05-16 00:01:09.830000,1.13166,1.13163,1000000,1000000
2016-05-16 00:01:09.882000,1.13164,1.13162,1250000,1950000
2016-05-16 00:01:09.984000,1.13163,1.13160,1250000,10200000
2016-05-16 00:01:10.529000,1.13162,1.13160,1000000,3000000
2016-05-16 00:01:11.036000,1.13163,1.13160,1690000,3000000
2016-05-16 00:01:15.172000,1.13163,1.13160,1310000,3000000
2016-05-16 00:01:16.244000,1.13163,1.13159,3560000,2440000
2016-05-16 00:01:16.346000,1.13161,1.13158,1190000,4500000
2016-05-16 00:01:16.681000,1.13157,1.13155,1190000,1200000
2016-05-16 00:01:16.986000,1.13155,1.13154,1250000,8250000
2016-05-16 00:01:17.037000,1.13156,1.13154,1250000,9000000
2016-05-16 00:01:17.139000,1.13159,1.13155,2810000,1370000
2016-05-16 00:01:17.580000,1.13157,1.13155,1190000,5620000
2016-05-16 00:01:17.632000,1.13157,1.13153,1690000,4870000
2016-05-16 00:01:18.038000,1.13155,1.13151,2250000,1500000
2016-05-16 00:01:19.648000,1.13155,1.13152,2250000,3750000
2016-05-16 00:01:20.157000,1.13155,1.13153,1500000,3750000
2016-05-16 00:01:26.165000,1.13156,1.13153,1690000,3750000
2016-05-16 00:01:28.878000,1.13156,1.13152,1690000,1500000
2016-05-16 00:01:28.980000,1.13154,1.13152,1000000,1000000
2016-05-16 00:01:29.286000,1.13150,1.13148,1190000,3000000
2016-05-16 00:01:29.337000,1.13151,1.13150,1250000,1000000
2016-05-16 00:01:29.438000,1.13152,1.13149,1190000,1000000
2016-05-16 00:01:29.944000,1.13152,1.13148,1190000,4120000
2016-05-16 00:01:30.149000,1.13152,1.13150,1190000,1870000
2016-05-16 00:01:30.301000,1.13154,1.13151,1870000,1120000
2016-05-16 00:01:30.403000,1.13156,1.13151,3070000,1870000
2016-05-16 00:01:33.132000,1.13154,1.13149,1120000,13010000
2016-05-16 00:01:33.385000,1.13152,1.13148,3190000,1500000
2016-05-16 00:01:33.437000,1.13151,1.13148,1190000,1500000
2016-05-16 00:01:33.946000,1.13151,1.13147,1190000,2620000
2016-05-16 00:01:40.316000,1.13151,1.13147,1190000,1870000
2016-05-16 00:01:42.506000,1.13151,1.13147,2060000,1120000
2016-05-16 00:01:43.011000,1.13151,1.13146,3560000,1870000
2016-05-16 00:01:46.421000,1.13151,1.13146,1690000,2250000
2016-05-16 00:01:48.075000,1.13149,1.13146,1000000,2250000
2016-05-16 00:01:48.423000,1.13147,1.13145,1250000,1500000
2016-05-16 00:01:48.474000,1.13148,1.13143,3190000,3070000
2016-05-16 00:01:48.735000,1.13148,1.13144,1190000,4870000
2016-05-16 00:01:49.243000,1.13148,1.13144,1190000,4500000
2016-05-16 00:01:49.751000,1.13147,1.13144,1310000,3750000
2016-05-16 00:01:50.055000,1.13149,1.13146,3190000,2250000
2016-05-16 00:01:50.157000,1.13150,1.13149,1200000,2250000
2016-05-16 00:01:50.209000,1.13152,1.13149,1690000,2250000
2016-05-16 00:01:50.361000,1.13150,1.13149,1250000,1500000
2016-05-16 00:01:50.598000,1.13148,1.13146,1250000,1200000
