time,ask,bid,ask_volume,bid_volume
2014-01-06 00:00:00.239000,1.35958,1.35957,1000000,1000000
2014-01-06 00:00:00.290000,1.35958,1.35955,1230000,1880000
2014-01-06 00:00:00.493000,1.35955,1.35953,10750000,1300000
2014-01-06 00:00:00.645000,1.35954,1.35951,5500000,1130000
2014-01-06 00:00:00.796000,1.35952,1.35950,1380000,1130000
2014-01-06 00:00:00.899000,1.35952,1.35949,4500000,3380000
2014-01-06 00:00:01,1.35952,1.35949,4880000,1500000
2014-01-06 00:00:01.508000,1.35951,1.35949,2630000,1000000
2014-01-06 00:00:02.029000,1.35950,1.35948,3380000,1000000
2014-01-06 00:00:02.290000,1.35950,1.35948,2630000,1000000
2014-01-06 00:00:02.811000,1.35949,1.35947,3000000,1380000
2014-01-06 00:00:03.319000,1.35949,1.35947,3250000,1000000
2014-01-06 00:00:05.578000,1.35949,1.35945,3000000,3000000
2014-01-06 00:00:06.240000,1.35950,1.35945,3750000,5130000
2014-01-06 00:00:06.327000,1.35950,1.35945,3750000,4880000
2014-01-06 00:00:07.960000,1.35950,1.35945,3380000,3000000
2014-01-06 00:00:10.750000,1.35949,1.35945,1000000,2250000
2014-01-06 00:00:12.401000,1.35948,1.35945,1000000,1880000
2014-01-06 00:00:12.974000,1.35948,1.35945,1000000,1880000
2014-01-06 00:00:13.763000,1.35947,1.35944,1750000,1880000
2014-01-06 00:00:14.070000,1.35945,1.35941,2630000,6000000
2014-01-06 00:00:14.433000,1.35944,1.35941,3380000,6000000
2014-01-06 00:00:14.774000,1.35943,1.35936,4760000,6000000
2014-01-06 00:00:14.940000,1.35946,1.35937,1500000,22500000
2014-01-06 00:00:14.992000,1.35943,1.35940,1000000,20500000
2014-01-06 00:00:15.143000,1.35943,1.35939,1500000,20500000
2014-01-06 00:00:15.615000,1.35939,1.35936,1000000,1000000
2014-01-06 00:00:16.198000,1.35939,1.35933,3390000,12750000
2014-01-06 00:00:17.809000,1.35934,1.35931,2630000,2350000
2014-01-06 00:00:18.120000,1.35937,1.35931,5880000,11850000
2014-01-06 00:00:18.699000,1.35937,1.35928,5890000,1000000
2014-01-06 00:00:19.297000,1.35930,1.35927,2250000,11850000
2014-01-06 00:00:20.779000,1.35929,1.35927,1500000,1000000
2014-01-06 00:00:21.119000,1.35929,1.35920,1500000,1500000
2014-01-06 00:00:23.988000,1.35936,1.35927,1130000,1500000
2014-01-06 00:00:24.115000,1.35936,1.35926,2630000,1000000
2014-01-06 00:00:24.165000,1.35931,1.35926,1000000,1000000
2014-01-06 00:00:24.266000,1.35931,1.35924,1000000,1130000
2014-01-06 00:00:25.980000,1.35928,1.35924,1000000,1130000
2014-01-06 00:00:26.526000,1.35929,1.35924,1000000,1130000
2014-01-06 00:00:30.206000,1.35930,1.35925,1500000,1000000
2014-01-06 00:00:30.816000,1.35929,1.35924,1500000,1130000
2014-01-06 00:00:32.729000,1.35929,1.35924,1500000,1500000
2014-01-06 00:00:32.880000,1.35929,1.35924,2250000,1130000
2014-01-06 00:00:34.167000,1.35928,1.35923,1000000,2630000
2014-01-06 00:00:34.709000,1.35928,1.35923,1500000,2630000
2014-01-06 00:00:35.299000,1.35926,1.35923,1000000,1500000
2014-01-06 00:00:35.812000,1.35925,1.35923,1000000,1500000
2014-01-06 00:00:35.863000,1.35926,1.35923,1000000,1880000
2014-01-06 00:00:36.247000,1.35934,1.35925,1000000,4880000
2014-01-06 00:00:36.348000,1.35928,1.35924,3760000,3380000
2014-01-06 00:00:36.500000,1.35928,1.35926,2630000,3000000
2014-01-06 00:00:36.662000,1.35928,1.35925,2630000,9750000
