time,ask,bid,ask_volume,bid_volume
2016-07-03 21:04:01.810000,1.11397,1.11253,1000000,1000000
2016-07-03 21:04:30.230000,1.11400,1.11250,1000000,1000000
2016-07-03 21:04:42.324000,1.11400,1.11319,1500000,750000
2016-07-03 21:04:42.735000,1.11396,1.11324,1000000,1000000
2016-07-03 21:07:00.906000,1.11396,1.11327,1000000,1000000
2016-07-03 21:07:14.036000,1.11396,1.11328,1000000,1000000
2016-07-03 21:07:29.014000,1.11396,1.11329,1000000,1000000
2016-07-03 21:07:34.752000,1.11396,1.11328,1000000,1000000
2016-07-03 21:07:41.615000,1.11396,1.11330,1000000,1000000
2016-07-03 21:07:44.656000,1.11396,1.11325,1000000,1000000
2016-07-03 21:07:55.726000,1.11396,1.11330,1000000,1000000
2016-07-03 21:08:02.231000,1.11396,1.11331,1000000,1000000
2016-07-03 21:08:06.635000,1.11396,1.11324,1000000,1500000
2016-07-03 21:08:46.867000,1.11396,1.11325,1000000,1000000
2016-07-03 21:08:48.689000,1.11396,1.11324,1000000,1000000
2016-07-03 21:09:02.326000,1.11399,1.11320,2250000,1500000
2016-07-03 21:09:02.521000,1.11396,1.11324,1000000,1000000
2016-07-03 21:09:34.959000,1.11396,1.11325,1000000,1000000
2016-07-03 21:09:38.999000,1.11396,1.11327,1000000,1000000
2016-07-03 21:10:07.885000,1.11390,1.11330,1500000,3000000
2016-07-03 21:10:08.197000,1.11368,1.11334,1500000,2250000
2016-07-03 21:11:21.092000,1.11368,1.11345,1500000,1000000
2016-07-03 21:11:21.194000,1.11380,1.11347,1500000,1500000
2016-07-03 21:11:21.295000,1.11389,1.11351,1000000,1000000
2016-07-03 21:11:21.370000,1.11396,1.11352,1000000,1000000
2016-07-03 21:11:30.042000,1.11396,1.11353,1000000,1000000
2016-07-03 21:11:31.980000,1.11396,1.11352,1000000,1500000
2016-07-03 21:11:32.537000,1.11396,1.11353,1000000,1000000
2016-07-03 21:11:34.615000,1.11396,1.11352,1000000,1500000
2016-07-03 21:11:38.847000,1.11396,1.11354,1000000,1000000
2016-07-03 21:11:39.230000,1.11396,1.11357,1000000,1500000
2016-07-03 21:11:40.941000,1.11396,1.11361,1000000,1000000
2016-07-03 21:11:42.910000,1.11396,1.11357,1000000,2250000
2016-07-03 21:11:45.011000,1.11396,1.11360,1000000,1000000
2016-07-03 21:11:49.015000,1.11396,1.11361,1000000,1000000
2016-07-03 21:11:52.146000,1.11385,1.11361,1500000,1000000
2016-07-03 21:11:52.743000,1.11396,1.11361,1000000,1000000
2016-07-03 21:11:54.819000,1.11396,1.11360,1000000,1000000
2016-07-03 21:11:55.426000,1.11396,1.11356,1000000,1000000
2016-07-03 21:11:57.870000,1.11396,1.11354,1000000,1500000
2016-07-03 21:11:58.536000,1.11396,1.11353,1000000,1000000
2016-07-03 21:12:00.948000,1.11396,1.11355,1000000,1000000
2016-07-03 21:12:04.127000,1.11396,1.11356,1000000,1000000
2016-07-03 21:12:04.330000,1.11396,1.11354,1000000,1000000
2016-07-03 21:12:05.073000,1.11396,1.11356,1000000,1000000
2016-07-03 21:12:09.035000,1.11396,1.11353,1000000,1500000
2016-07-03 21:12:09.573000,1.11396,1.11354,1000000,1500000
2016-07-03 21:12:13.843000,1.11396,1.11359,1000000,1000000
2016-07-03 21:12:14.836000,1.11396,1.11358,1000000,1000000
2016-07-03 21:12:15.362000,1.11385,1.11358,1500000,1000000
2016-07-03 21:12:17.138000,1.11385,1.11354,1500000,1500000
2016-07-03 21:12:17.639000,1.11385,1.11353,1500000,1000000
